"manyclasses_institution_id","manyclasses_course_id","manyclasses_student_id","z_diff"
3,38,"21413fbd5a04c450b89d210175d3b25a",1.142048999
3,38,"1afe07ae43deb7cfe83bdc781b28c3df",0.62060255
3,38,"9e5051b44741615dc75ac8e48cdecc18",-0.131969743
3,38,"3875bc85748059ae8ab955365220df36",-0.990546401
3,38,"67890d56c0546c1f6f0930e502159f11",-1.461254484
3,38,"ad57be48403011301a933db08816e7a7",1.153009157
3,38,"7c91df3d9a7479d671cb602553b62197",1.078626042
3,38,"ae23078baa5e836d643d2ac2f316922b",2.1282509
3,38,"9eb9e92724dbb8ca9ff8f01cd452ac74",-0.10660056
13,18,"530c7ee38481c21c2a0459402c87e805",-0.149567289
13,18,"4b4c9781d92fca37e6c573b8b6438a99",0.149567289
13,18,"6efc9651bcb5a33901dd03860ec08ff2",1.344054575
13,18,"bade96701dececc54022a65cc7691bd2",1.621410867
13,18,"5a8f5a8097c0c924f179d37d8bf7003a",1.03505637
13,18,"53ba7512534a0559e9bcd9dab7ad3e76",0.735921786
13,18,"8cb848b372f439749acd85ddda705ebf",0.735921786
13,18,"e71944e670e6313cb7b0acd2d7162fe7",-0.735921786
13,18,"4a8f7fa5b67964dea8e09d2d1dcb0b71",0.735921786
13,18,"331db035601d841a5d792daf99258765",0.149567289
13,18,"a36f0bc58111a6ce64eef930c0ad6bd6",1.621410867
13,18,"b76d05d3e5a57d7dee3de0f096103a69",-0.945892146
13,18,"0a6133f58501d04567f0c7104f9a4b05",1.433218799
13,18,"2150ec647e868aacef2dda52c720aeed",-1.03505637
13,18,"2ffcbef25ff7ac914566216422d3557e",-0.735921786
13,18,"f8466f344c30ed20fba038d90e93d01b",-0.735921786
13,18,"48596acdc5a661d052a8e8e04ca54d3c",0.547729724
13,18,"349fc3af4eabb1067aff59801f6c5fc6",-1.223248438
13,18,"d7a82684372b4c4f1345ffcdaec2dbba",1.433218799
13,18,"307102f8c95ad8768df482c72a149966",0.149567289
13,18,"ee7b4097cd87b3888dc9e2eee04e399b",-0.547729724
9,1,"a830fbc3e07603c0daa6d9ac96213c70",0.411799846
9,1,"3e8a381df02723b9508832e6e6c3b9ff",0.251245003
9,1,"be863ed16adffac5c5ce6b349a75fc42",0.440810246
9,1,"b59a38e5365004b8b498f75a96ae2c66",1.080044106
9,1,"9ac445dbb06849506e78c2e456d065ff",1.313606585
9,1,"f06820ca9052e5a504107ed51887b86c",0.500080886
9,1,"03f48f2b10da64f0c25e4daf403f0348",-0.04497693
9,1,"cc0ea79e6b0b33680f5cced263f91bb0",-0.817777895
9,1,"73d5cb6e3046d5c6d0510f25965398ec",-0.201003197
9,1,"950903b77117cf8d9c7b1fbbf2cbd1e0",-0.053451518
9,1,"e30aa1cd2fa9920ce708de81d893c522",-0.152900588
